id,predmet,platce,platce_ico,dodavatel,hodnota_czk,datum,odkaz,zdroj,stazeno,je_skola,je_nabytek,skola_nazev,skola_izo,skola_kraj,skola_priorita,skola_score
37640877,Kupní smlouva - vybavení školy 1.část školní nábytek,"Střední průmyslová škola, Ústí nad Labem, Resslova 5, příspěvková organizace",00082201,"KOVO, výrobní družstvo",5863811.17,2026-04-20,https://smlouvy.gov.cz/smlouva/37640877,RegistrSmluv,2026-04-22 22:33,True,True,"Střední průmyslová škola, Ústí nad Labem, Resslova 5, příspěvková organizace",000082201,Ústecký kraj,B,54.0
36791041,"Školní nábytek, Inovace 2026","Střední odborné učiliště společného stravování, Poděbrady, Dr. Beneše 413/II",00664359,SANTAL spol. s r. o.,239410.6,2026-02-12,https://smlouvy.gov.cz/smlouva/36791041,RegistrSmluv,2026-04-22 22:33,True,True,"Střední odborné učiliště společného stravování, Poděbrady, Dr. Beneše 413/II",000664359,Středočeský kraj,B,53.8
36917089,Nábytek do školní restaurace,"Střední odborná škola a Střední odborné učiliště obchodu a služeb, Chrudim, Čáslavská 205",13582259,Kamil Šudrych,235283.0,2026-02-18,https://smlouvy.gov.cz/smlouva/36917089,RegistrSmluv,2026-04-22 22:33,True,True,"Střední odborná škola a Střední odborné učiliště obchodu a služeb, Chrudim, Čáslavská 205",013582259,Pardubický kraj,B,50.0
37628545,Objednávka - školní nábytek.,Základní škola Povážská Strakonice,70876240,"Sdružení POMOC, z.s.",231475.0,2026-04-16,https://smlouvy.gov.cz/smlouva/37628545,RegistrSmluv,2026-04-22 22:33,True,True,Základní škola Povážská Strakonice,107722232,Jihočeský kraj,B,52.2
37256637,Objednávka-nábytek pro školní cvičnou kuchyni,"Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace",47611057,Milan Palát,130000.0,2026-02-23,https://smlouvy.gov.cz/smlouva/37256637,RegistrSmluv,2026-04-22 22:33,True,True,"Základní škola Karla Čapka, Praha 10, Kodaňská 658/16, příspěvková organizace",047611057,Hlavní město Praha,B,53.8
37654805,školní nábytek,"Základní škola a Mateřská škola Bohumín Bezručova 190 okres Karviná, příspěvková organizace",75029111,Baar Group s.r.o.,126041.0,2026-04-15,https://smlouvy.gov.cz/smlouva/37654805,RegistrSmluv,2026-04-22 22:33,True,True,"Základní škola a Mateřská škola Bohumín Bezručova 190 okres Karviná, příspěvková organizace",102156387,Moravskoslezský kraj,C,36.8
36752321,Školní nábytek,"Základní škola, Praha 10, Hornoměcholupská 873",62930729,MULTIP Moravia s.r.o.,117585.0,2026-02-09,https://smlouvy.gov.cz/smlouva/36752321,RegistrSmluv,2026-04-22 22:33,True,True,"Základní škola, Praha 10, Hornoměcholupská 873",102337870,Hlavní město Praha,A,57.5
37100501,Dohoda o narovnání (školní nábytek r.2022),"Základní škola, Praha 10-Hostivař, Kozinova 1000",47611332,Křovina s.r.o.,108000.0,2026-02-20,https://smlouvy.gov.cz/smlouva/37100501,RegistrSmluv,2026-04-22 22:33,True,True,"Základní škola, Praha 10 - Hostivař, Kozinova 1000",047611332,Hlavní město Praha,B,53.8
36742649,Smlouva o poskytování komplexních úklidových služeb,Základní škola Praha - Kbely,61384780,OLMAN SERVICE s.r.o.,2900000.0,2026-01-30,https://smlouvy.gov.cz/smlouva/36742649,RegistrSmluv,2026-04-22 22:33,True,False,Základní škola Praha - Kbely,102301727,Hlavní město Praha,A,60.0
36670785,"Kupní smlouva-nákup školního nábytku včetně poskytnutí služeb souvisejících,veřejná zakázka Dodávky vybavení pro ZŠ Ostr","Základní škola a mateřská škola Ostrava, Ostrčilova 10, příspěvková organizace",61989037,Hilbert Interiéry s.r.o.,1999740.26,2026-02-03,https://smlouvy.gov.cz/smlouva/36670785,RegistrSmluv,2026-04-22 22:33,True,False,"Základní škola a mateřská škola Ostrava, Ostrčilova 10, příspěvková organizace",102508011,Moravskoslezský kraj,B,45.5
36627113,Pojistná smlouva o pojištění majetku,"Dětský domov se školou, základní škola a školní jídelna, Horní Maršov, Temný Důl 16",60153628,"Česká podnikatelská pojišťovna, a.s., Vienna Insurance Group",348000.0,2026-01-23,https://smlouvy.gov.cz/smlouva/36627113,RegistrSmluv,2026-04-22 22:33,True,False,"Dětský domov se školou, základní škola a školní jídelna, Horní Maršov, Temný Důl 16",110029593,Královéhradecký kraj,C,27.5
36643505,Nákup nábytku do kanceláří školy,"Základní škola Sokolov, Pionýrů 1614",69979073,LB Nábytek s.r.o.,346400.0,2026-02-03,https://smlouvy.gov.cz/smlouva/36643505,RegistrSmluv,2026-04-22 22:33,True,False,"Základní škola Sokolov, Pionýrů 1614",102416753,Karlovarský kraj,B,44.8
36792081,kupní smlouva o dodávce zboží,"Základní umělecká škola Pardubice-Polabiny, Lonkova 510",72566639,CAPEXUS s.r.o.,307977.0,2026-02-06,https://smlouvy.gov.cz/smlouva/36792081,RegistrSmluv,2026-04-22 22:33,True,False,,,,,
36793105,"Objednávka školního nábytku objekt Bechyňská 26, Soběslav.","Střední škola řemeslná a Základní škola, Soběslav",72549572,MULTIP Moravia s.r.o.,271051.24,2026-02-12,https://smlouvy.gov.cz/smlouva/36793105,RegistrSmluv,2026-04-22 22:33,True,False,"Střední škola řemeslná a Základní škola, Soběslav, Wilsonova 405",181033496,Jihočeský kraj,B,52.2
36654757,Pronájem bazénu,"Základní škola Český Brod, Žitomířská 885, okres Kolín",46383506,Univerzita Karlova,200000.0,2026-02-04,https://smlouvy.gov.cz/smlouva/36654757,RegistrSmluv,2026-04-22 22:33,True,False,"Základní škola Český Brod, Žitomířská 885, okres Kolín",046383506,Středočeský kraj,B,53.8
36539213,GSLAP_Nákup nábytku,"Gymnázium a základní umělecká škola Šlapanice, příspěvková organizace",49461249,MULTIP Moravia s.r.o.,198907.44,2026-01-23,https://smlouvy.gov.cz/smlouva/36539213,RegistrSmluv,2026-04-22 22:33,True,False,"Gymnázium a základní umělecká škola Šlapanice, příspěvková organizace",108010112,Jihomoravský kraj,B,38.2
36790193,Zajištění administace a organizace zadávacích řízení ,"Základní škola, Ostrava-Poruba, K. Pokorného 1382, příspěvková organizace",61989142,mumandi s.r.o.,181500.0,2026-02-13,https://smlouvy.gov.cz/smlouva/36790193,RegistrSmluv,2026-04-22 22:33,True,False,"Základní škola, Ostrava-Poruba, K. Pokorného 1382, příspěvková organizace",120100576,Moravskoslezský kraj,B,41.8
36677589,Smlouva o bezúplatném převodu majetku,Střední škola technická Svitavy,15034569,"Gymnázium, obchodní akademie a jazyková škola s právem státní jazykové zkoušky S",104765.6,2026-01-26,https://smlouvy.gov.cz/smlouva/36677589,RegistrSmluv,2026-04-22 22:33,True,False,Střední škola technická Svitavy,015034569,Pardubický kraj,B,46.2
36741541,"FaF/226K0006/Kupní smlouva-MEPHARED 2 – dodávka nelaboratorního nábytku, vybavení do kuchyní, knihoven, zasedacích místn",Univerzita Karlova,00216208,"Univerzita Karlova, Lékařská fakulta v Hradci Králové",34123210.0,2026-02-09,https://smlouvy.gov.cz/smlouva/36741541,RegistrSmluv,2026-04-22 22:33,False,True,,,,,
